text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @seanspicer: Thanks @DonaldJTrumpJr     Need your votes tonight on @DancingABC Voting is open now.   Cast all 20 votes.  10 by texting S…,FALSE,0,NA,2019-10-22T00:56:30Z,FALSE,NA,1186446194710634496,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MarkSmi91148551,487,TRUE,FALSE,NA,NA
I voted for @seanspicer &amp; @lindsayarnold on #DWTS https://t.co/LjOK7adNRr,FALSE,0,NA,2019-10-22T00:56:29Z,FALSE,NA,1186446190990282757,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",_BradleyStein_,0,FALSE,FALSE,NA,NA
RT @AllyBrooke: SASHA!!! THAT WAS INCREDIBLE AND SO MUCH FUN!!! ✨ Help get us to next week by voting ALLY to 21523!! You can vote up 10 TIM…,FALSE,0,NA,2019-10-22T00:56:27Z,FALSE,NA,1186446183725699073,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",camzdalolo67,170,TRUE,FALSE,NA,NA
@L5Roby @Tiffany_Granath 5 minutes before #DWTS at 7 on ABC @richard_herlihy,FALSE,1,L5Roby,2019-10-22T00:56:27Z,FALSE,NA,1186446183289556993,547639040,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",richard_herlihy,0,FALSE,FALSE,NA,NA
RT @seanspicer: Thank you for all of the support. I’m up 7th on @DancingABC tonight.  Please vote right at 8pm ET 20 times. Text SEAN 10 ti…,FALSE,0,NA,2019-10-22T00:56:25Z,FALSE,NA,1186446174053654529,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ahncruz423,705,TRUE,FALSE,NA,NA
"RT @pashapashkov86: Please vote for @KateFlannery and I, so proud of her she fights harder and harder every week💜 Text KATE to 21523 or go…",FALSE,0,NA,2019-10-22T00:56:24Z,FALSE,NA,1186446170085826560,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SethRudetsky,19,TRUE,FALSE,NA,NA
"RT @FamousA398: My dream #DWTS final:
Kate
Hannah
James
Kel https://t.co/a0fUY6xIM4",FALSE,0,NA,2019-10-22T00:56:24Z,FALSE,NA,1186446168785637376,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DanielsChelle55,2,TRUE,FALSE,NA,NA
patriots #Vote for #seanspicer &amp; #lindsayarnold on #DWTS,FALSE,0,NA,2019-10-22T00:56:24Z,FALSE,NA,1186446167455997952,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",jannysjems,0,FALSE,FALSE,NA,NA
RT @AllyBrooke: Tweet me screenshots of your votes using #TeamTime2Shine &amp; #DWTS!! I'll be going through the hashtags to follow and RT some…,FALSE,0,NA,2019-10-22T00:56:23Z,FALSE,NA,1186446163580542976,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kccruela,142,TRUE,FALSE,NA,NA
"RT @pashapashkov86: Please vote for @KateFlannery and I, so proud of her she fights harder and harder every week💜 Text KATE to 21523 or go…",FALSE,0,NA,2019-10-22T00:56:22Z,FALSE,NA,1186446161462333441,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dwtsjonas,19,TRUE,FALSE,NA,NA
